5,"آ","AA"
234,"کر","KR"
1,"آکر","AAKR"
3,"آؤ","AAO"
15,"بھاؤ","BHAO"
12,"بھگت","BHGT"
3,"جاؤ","JAO"
1,"آئبس","AAYBS"
1,"آئتا","AAYTA"
1,"آئر","AAYR"
35,"لینڈ","LYND"
1,"آئرس","AAYRS"
1,"آئرستان","AAYRSTAN"
1,"آئرستانی","AAYRSTANY"
1,"آئرستانیوں","AAYRSTANYON"
1,"آئرسز","AAYRSZ"
1,"آئرش","AAYRSH"
1,"آئرشی","AAYRSHY"
4,"آئرن","AAYRN"
1,"آئرہ","AAYRH"
1,"آئرین","AAYRYN"
2,"آئزل","AAYZL"
27,"آف","AAF"
36,"مین","MYN"
6,"آئس","AAYS"
31,"برگ","BRG"
2,"فیکٹری","FYKTRY"
7,"کریم","KRYM"
2,"کریموں","KRYMON"
1,"آئسنگ","AAYSNG"
1,"آئسہ","AAYSH"
1,"آئسیس","AAYSYS"
1,"آئش","AAYSH"
1,"آئفونزہ","AAYFONZH"
6,"آئل","AAYL"
1,"آئلہ","AAYLH"
1,"آؤلی","AAOLY"
1,"آئلی","AAYLY"
1,"آؤلیاں","AAOLYAN"
1,"آؤلے","AAOLE"
4,"آئمہ","AAYMH"
5,"آئن","AAYN"
3,"آئند","AAYND"
153,"ساز","SAZ"
1,"آئندگان","AAYNDGAN"
6,"آئندہ","AAYNDH"
39,"کو","KO"
1,"آئنونزہ","AAYNONZH"
1,"آئنی","AAYNY"
1,"آئڈیالوجی","AAYDYALOJY"
1,"آئڈیل","AAYDYL"
1,"آئڈیلز","AAYDYLZ"
1,"آئڈیلزم","AAYDYLZM"
1,"آئڈیلسٹ","AAYDYLST"
1,"آئڈیلوں","AAYDYLON"
33,"آئی","AAYY"
4,"ای","AY"
6,"ایس","AYS"
9,"ایم","AYM"
42,"سی","SY"
11,"گئی","GYY"
1674,"کا","KA"
18,"سودا","SODA"
2,"وائی","WAYY"
12,"ہوئی","HOYY"
1,"آئیجان","AAYYJAN"
1,"آئیدمیر","AAYYDMYR"
1,"آئیدن","AAYYDN"
1,"آئیدون","AAYYDON"
1,"آئیس","AAYYS"
1,"آئیملک","AAYYMLK"
24,"آئین","AAYYN"
194,"بند","BND"
13,"پرستوں","PRSTON"
82,"پرستی","PRSTY"
3,"پیغمبری","PYGHMBRY"
1,"جہابانی","JHABANY"
1,"جہانبانی","JHANBANY"
12,"مقررہ","MQRRH"
323,"نو","NO"
1,"آئینوں","AAYYNON"
49,"آئینہ","AAYYNH"
30,"باطن","BATN"
77,"بردار","BRDAR"
7,"برداروں","BRDARON"
39,"بین","BYN"
39,"بیں","BYN"
23,"پرداز","PRDAZ"
93,"پوش","POSH"
4,"پوشوں","POSHON"
52,"تاب","TAB"
19,"تاریک","TARYK"
15,"جبیں","JBYN"
18,"جمال","JMAL"
24,"خانوں","KHANON"
347,"خانہ","KHANH"
27,"خانے","KHANE"
635,"دار","DAR"
32,"داروں","DARON"
106,"دان","DAN"
394,"دل","DL"
34,"رخ","RKH"
2,"رخوں","RKHON"
193,"رنگ","RNG"
112,"رو","RO"
48,"زار","ZAR"
7,"سازوں","SAZON"
12,"سکندر","SKNDR"
6,"سیما","SYMA"
88,"طبع","TBA"
5,"عذار","AZAR"
130,"عمل","AML"
5,"غدار","GHDAR"
16,"گداز","GDAZ"
1,"گلداز","GLDAZ"
89,"نگاری","NGARY"
264,"کار","KAR"
28,"کردار","KRDAR"
4,"کرداروں","KRDARON"
8,"آئینہء","AAYYNHY"
4,"انگاری","ANGARY"
30,"جادو","JADO"
34,"چینی","CHYNY"
6,"سکندری","SKNDRY"
33,"قامت","QAMT"
176,"نما","NMA"
2,"آئینۂ","AAYYNH"
3,"آئینی","AAYYNY"
1,"آئینیت","AAYYNYT"
1,"آئینے","AAYYNE"
1,"آئیوری","AAYYORY"
1,"کوسٹ","KOST"
1,"آئیون","AAYYON"
1,"آئیوڈین","AAYYODYN"
1,"آئیڈیالوجی","AAYYDYALOJY"
1,"آئیڈیل","AAYYDYL"
1,"آئیڈیلزم","AAYYDYLZM"
1,"آئیڈیلسٹ","AAYYDYLST"
5,"آئیں","AAYYN"
3,"بائیں","BAYYN"
2,"شائیں","SHAYYN"
10,"آئے","AAYE"
3,"بھائے","BHAYE"
13,"جائے","JAYE"
115,"دن","DN"
16,"گئے","GYE"
3,"لگائے","LGAYE"
189,"نور","NOR"
2,"کت","KT"
1,"آئےتن","AAYETN"
175,"آب","AAB"
103,"آتش","AATSH"
16,"آتشیں","AATSHYN"
7,"آش","AASH"
84,"آمیز","AAMYZ"
22,"آہن","AAHN"
8,"ارغوانی","ARGHOANY"
7,"انار","ANAR"
3,"انبار","ANBAR"
1,"انبارہ","ANBARH"
20,"اندام","ANDAM"
15,"انگور","ANGOR"
2,"ایستادہ","AYSTADH"
1,"ایسمتادعہ","AYSMTADAH"
220,"باز","BAZ"
178,"بازی","BAZY"
8,"برار","BRAR"
13,"برد","BRD"
8,"بردہ","BRDH"
12,"بقا","BQA"
19,"پاش","PASH"
18,"پاشی","PASHY"
4,"پنیر","PNYR"
67,"پیما","PYMA"
6,"ترسی","TRSY"
69,"تیغ","TYGH"
29,"تین","TYN"
7,"جاری","JARY"
5,"جامد","JAMD"
44,"جو","JO"
29,"جوش","JOSH"
129,"چشم","CHSHM"
20,"حرام","HRAM"
111,"حیات","HYAT"
4,"حیواں","HYOAN"
10,"خاصہ","KHASH"
14,"خالص","KHALS"
10,"خمار","KHMAR"
8,"خورا","KHORA"
31,"خوردہ","KHORDH"
64,"خیز","KHYZ"
176,"داری","DARY"
99,"در","DR"
132,"دست","DST"
4,"دنداں","DNDAN"
317,"دو","DO"
1,"آتشین","AATSHYN"
25,"دوز","DOZ"
10,"دہاں","DHAN"
20,"دہن","DHN"
1,"دیاں","DYAN"
35,"دیدہ","DYDH"
25,"رسیدہ","RSYDH"
21,"رفتہ","RFTH"
17,"رنگی","RNGY"
46,"رواں","ROAN"
43,"ریز","RYZ"
22,"زدگی","ZDGY"
93,"زدہ","ZDH"
110,"زر","ZR"
3,"زلال","ZLAL"
1,"زلاں","ZLAN"
4,"زمزم","ZMZM"
83,"زن","ZN"
11,"سبیل","SBYL"
35,"سرخ","SRKH"
100,"سیاہ","SYAH"
3,"شار","SHAR"
7,"شبینہ","SHBYNH"
53,"شور","SHOR"
184,"گاہ","GAH"
218,"گل","GL"
7,"گلرنگ","GLRNG"
21,"گوں","GON"
3,"مقطر","MQTR"
1,"نائے","NAYE"
4,"نالے","NALE"
1,"ناے","NAE"
12,"نقرہ","NQRH"
6,"نیساں","NYSAN"
21,"نے","NE"
914,"و","W"
5,"اجداد","AJDAD"
93,"باد","BAD"
42,"دانہ","DANH"
82,"ہوا","HOA"
8,"وضو","WZO"
173,"کاری","KARY"
11,"کاشت","KASHT"
107,"کش","KSH"
73,"کشی","KSHY"
30,"کشیدہ","KSHYDH"
8,"کوثر","KOSR"
6,"یاری","YARY"
4,"یخ","YKH"
2,"آبا","AABA"
1,"آباء","AABAY"
1,"آباؤ","AABAO"
1,"آبائی","AABAYY"
1,"آبائیت","AABAYYT"
23,"آباد","AABAD"
1,"آبادگان","AABADGAN"
18,"آبادی","AABADY"
21,"جدید","JDYD"
1,"آبادیاں","AABADYAN"
1,"آبادیوں","AABADYON"
1,"آبان","AABAN"
1,"آباو","AABAO"
1,"آبپاری","AABPARY"
1,"آبپاریاں","AABPARYAN"
1,"آبتین","AABTYN"
6,"آبدار","AABDAR"
1,"آبداری","AABDARY"
19,"آبرو","AABRO"
11,"باختہ","BAKHTH"
109,"پسند","PSND"
5,"ریختہ","RYKHTH"
16,"ریزی","RYZY"
76,"فروش","FROSH"
61,"مند","MND"
9,"مندانہ","MNDANH"
35,"مندی","MNDY"
10,"بھوکا","BHOKA"
44,"پاس","PAS"
1,"آبروؤ","AABROO"
1,"آبروؤں","AABROON"
1,"آبروئی","AABROYY"
1,"آبروئیں","AABROYYN"
1,"آبرہ","AABRH"
1,"آبس","AABS"
1,"آبستگی","AABSTGY"
1,"آبستن","AABSTN"
1,"آبستنی","AABSTNY"
1,"آبستنیاں","AABSTNYAN"
1,"آبستہ","AABSTH"
1,"آبشار","AABSHAR"
1,"آبص","AABS"
1,"آبگینوں","AABGYNON"
1,"آبگینہ","AABGYNH"
1,"آبگینے","AABGYNE"
1,"آبلا","AABLA"
1,"آبلوچ","AABLOCH"
1,"آبلوس","AABLOS"
1,"آبلوں","AABLON"
6,"آبلہ","AABLH"
69,"پا","PA"
14,"فرسا","FRSA"
6,"فرنگ","FRNG"
1,"آبلہء","AABLHY"
1,"آبلۂ","AABLH"
1,"آبلے","AABLE"
1,"آبنوس","AABNOS"
1,"آبنوسوں","AABNOSON"
3,"آبنوسی","AABNOSY"
1,"آبنوش","AABNOSH"
45,"آبی","AABY"
2,"اچار","ACHAR"
44,"برج","BRJ"
3,"بروج","BROJ"
3,"بگولا","BGOLA"
4,"پلاو","PLAO"
14,"پودا","PODA"
16,"چونا","CHONA"
8,"چٹان","CHTAN"
11,"راستہ","RASTH"
13,"رسد","RSD"
38,"روٹی","ROTY"
97,"زمین","ZMYN"
6,"سان","SAN"
